iter	Passed	Remaining
405	7379	10796
406	7395	10774
407	7411	10754
408	7428	10733
409	7445	10714
410	7463	10695
411	7480	10675
412	7497	10655
413	7514	10636
414	7530	10615
415	7547	10594
416	7562	10573
417	7579	10553
418	7600	10538
419	7625	10530
420	7643	10511
421	7663	10496
422	7682	10479
423	7703	10465
424	7723	10448
425	7745	10436
426	7764	10419
427	7781	10399
428	7797	10378
429	7815	10359
430	7830	10338
431	7846	10317
432	7863	10297
433	7880	10277
434	7896	10256
435	7911	10234
436	7928	10213
437	7944	10193
438	7960	10173
439	7976	10151
440	7992	10131
441	8009	10111
442	8027	10092
443	8043	10072
444	8060	10052
445	8079	10035
446	8099	10019
447	8123	10009
448	8143	9993
449	8162	9975
450	8181	9959
451	8201	9943
452	8226	9934
453	8245	9916
454	8267	9902
455	8284	9882
456	8300	9862
457	8316	9842
458	8334	9823
459	8351	9803
460	8366	9782
461	8383	9762
462	8401	9743
463	8417	9723
464	8433	9702
465	8449	9682
466	8465	9662
467	8482	9642
468	8499	9623
469	8516	9604
470	8533	9584
471	8551	9566
472	8568	9546
473	8586	9529
474	8603	9509
475	8621	9490
476	8640	9473
477	8657	9454
478	8674	9435
479	8690	9414
480	8707	9395
481	8722	9374
482	8740	9355
483	8755	9334
484	8773	9316
485	8789	9295
486	8805	9275
487	8822	9256
488	8838	9235
489	8854	9215
490	8871	9196
491	8889	9178
492	8905	9158
493	8922	9139
494	8940	9121
495	8957	9101
496	8975	9083
497	8993	9065
498	9012	9048
499	9032	9032
500	9050	9013
501	9068	8996
502	9088	8979
503	9111	8966
504	9138	8957
505	9168	8950
506	9192	8938
507	9216	8926
508	9237	8911
509	9261	8897
510	9282	8882
511	9306	8870
512	9326	8854
513	9348	8839
514	9370	8825
515	9391	8809
516	9412	8793
517	9433	8778
518	9452	8760
519	9469	8740
520	9486	8721
521	9503	8702
522	9521	8684
523	9539	8665
524	9557	8647
525	9583	8635
526	9605	8621
527	9627	8605
528	9657	8598
529	9693	8595
530	9713	8579
531	9736	8565
532	9761	8553
533	9783	8537
534	9803	8520
535	9826	8506
536	9847	8490
537	9868	8474
538	9889	8458
539	9911	8442
540	9930	8424
541	9948	8406
542	9968	8389
543	9989	8373
544	10013	8359
545	10037	8346
546	10058	8330
547	10088	8321
548	10114	8309
549	10140	8296
550	10159	8278
551	10182	8263
552	10201	8246
553	10222	8229
554	10241	8211
555	10260	8193
556	10280	8176
557	10299	8158
558	10319	8141
559	10337	8122
560	10356	8104
561	10376	8087
562	10396	8069
563	10425	8059
564	10453	8048
565	10493	8046
566	10521	8034
567	10549	8023
568	10578	8013
569	10604	7999
570	10643	7996
571	10677	7989
572	10718	7987
573	10742	7972
574	10765	7957
575	10786	7939
576	10805	7921
577	10825	7903
578	10852	7890
579	10874	7874
580	10892	7855
581	10932	7851
582	10959	7839
583	10979	7821
584	11005	7807
585	11027	7791
586	11046	7772
587	11065	7753
588	11085	7735
589	11103	7715
590	11121	7696
591	11140	7678
592	11162	7661
593	11180	7641
594	11199	7623
595	11218	7604
596	11238	7586
597	11254	7565
598	11274	7547
599	11291	7527
600	11312	7509
601	11331	7491
602	11348	7471
603	11366	7452
604	11383	7432
605	11401	7413
606	11419	7393
607	11439	7375
608	11458	7356
609	11475	7336
610	11492	7316
611	11528	7308
612	11554	7294
613	11583	7281
614	11606	7266
615	11635	7253
616	11657	7236
617	11681	7220
618	11704	7203
619	11732	7190
620	11767	7181
621	11848	7200
622	11876	7186
623	11903	7172
624	11942	7165
625	11987	7161
626	12021	7151
627	12051	7138
628	12079	7124
629	12102	7108
630	12148	7104
631	12185	7095
632	12223	7087
633	12274	7086
634	12302	7071
635	12342	7063
636	12367	7047
637	12394	7032
638	12417	7015
639	12444	6999
640	12471	6984
641	12495	6967
642	12519	6951
643	12545	6935
644	12572	6919
645	12599	6904
646	12624	6888
647	12645	6869
648	12665	6850
649	12687	6831
650	12708	6813
651	12731	6795
652	12751	6776
653	12771	6757
654	12791	6737
655	12811	6718
656	12832	6699
657	12854	6680
658	12874	6661
659	12894	6642
660	12916	6624
661	12937	6605
662	12960	6587
663	12982	6569
664	13006	6551
665	13028	6533
666	13052	6516
667	13075	6498
668	13100	6481
669	13121	6462
670	13143	6444
