iter	MultiClass
231	0.1637688851
232	0.1633301643
233	0.1628488169
234	0.1623998344
235	0.1618402427
236	0.1613674329
237	0.1609094401
238	0.1600879777
239	0.1592845885
240	0.1587988031
241	0.1581157862
242	0.1573970827
243	0.1568636333
244	0.156024546
245	0.1554731175
246	0.1549495088
247	0.1544255019
248	0.1540136804
249	0.153519176
250	0.1530314337
251	0.1524834788
252	0.1516716309
253	0.1511532809
254	0.1508450775
255	0.1502542346
256	0.1496738666
257	0.1491721199
258	0.1485641462
259	0.1479165415
260	0.1475015948
261	0.1471124236
262	0.1465999466
263	0.1460185428
264	0.1455837518
265	0.1451990573
266	0.1448537244
267	0.1445628645
268	0.1440833443
269	0.1434756464
270	0.1430662037
271	0.1426597414
272	0.1423601205
273	0.141631739
274	0.1410901842
275	0.1406670254
276	0.140296974
277	0.1400967401
278	0.1397461723
279	0.1392668448
280	0.1387108544
281	0.1382045447
282	0.1376643667
283	0.1371965267
284	0.1368002146
285	0.1363039894
286	0.1358797415
287	0.1354447228
288	0.1349818167
289	0.134928859
290	0.1344937901
291	0.1340712742
292	0.1336909919
293	0.1333286357
294	0.1328033052
295	0.132337731
296	0.1319647574
297	0.131443451
298	0.131082086
299	0.130783905
300	0.1304123481
301	0.1301242098
302	0.1297905228
303	0.1292500371
304	0.1287874378
305	0.1283651892
306	0.1278173259
307	0.1274250148
308	0.1269748136
309	0.1263759513
310	0.1258950938
311	0.1255208726
312	0.1252708605
313	0.1247962275
314	0.124485808
315	0.1241193004
316	0.1238252197
317	0.1231358834
318	0.1227945252
319	0.1223848341
320	0.1221065113
321	0.1216989313
322	0.1214368129
323	0.1211351866
324	0.1208353964
325	0.1203924002
326	0.1200638636
327	0.1196062682
328	0.1192750639
329	0.1190886368
330	0.1186756948
331	0.1184595999
332	0.118079614
333	0.1177902324
334	0.1175104706
335	0.1172199547
336	0.1167812974
337	0.1164209788
338	0.1161027626
339	0.1156886162
340	0.1151847784
341	0.1148839458
342	0.1145197268
343	0.1142840345
344	0.1140494079
345	0.1136823113
346	0.1134527479
347	0.1130742387
348	0.1127396366
349	0.1123554291
350	0.1121238345
351	0.1119186052
352	0.1116122051
353	0.1112398103
354	0.1109861424
355	0.1106711964
356	0.1104647589
357	0.1103766684
358	0.1100769063
359	0.1097840113
360	0.109528268
361	0.1092058434
362	0.1090467805
363	0.1087938577
364	0.108431987
365	0.1080572978
366	0.1078926517
367	0.1076521277
368	0.1074130853
369	0.107128036
370	0.1068835418
371	0.1068179828
372	0.1066239519
373	0.1064263155
374	0.1062924791
375	0.1061083478
376	0.1058193793
377	0.1056251519
378	0.1053279977
379	0.1050503318
380	0.1047680009
381	0.1045425878
382	0.1043761127
383	0.1041902007
384	0.1038853453
385	0.103624473
386	0.1033220476
387	0.1030677048
388	0.102861759
389	0.1025835535
390	0.1024265913
391	0.1022468499
392	0.1020160845
393	0.1018748042
394	0.1016096538
395	0.1012874639
396	0.1010510565
397	0.1008924913
398	0.1008573969
399	0.1006549483
400	0.1002765101
401	0.1000261598
402	0.09981214745
403	0.09956184603
404	0.09935859012
405	0.09912407412
406	0.09889220546
407	0.09865197801
408	0.09826631695
409	0.09800648226
410	0.09779599621
411	0.0975416191
412	0.09720935508
413	0.09700436899
414	0.09683757722
415	0.09668177081
416	0.09654813765
417	0.09638907527
418	0.09620995535
419	0.09605535571
420	0.09587337944
421	0.09544920176
422	0.09529471233
423	0.09511551061
424	0.09488753848
425	0.09453941425
426	0.09427417
427	0.0941118379
428	0.09376711964
429	0.09348240178
430	0.09318564533
431	0.09301916549
432	0.09291610713
433	0.09277867457
434	0.09249439265
435	0.09225538034
436	0.09194126299
437	0.09185004677
438	0.09169132925
439	0.09150696137
440	0.09122396448
441	0.09114558202
442	0.09086637439
443	0.09081403252
444	0.09067366004
445	0.0903906251
446	0.09020186189
447	0.09001740505
448	0.08984850996
449	0.08968129614
450	0.08948191497
451	0.08922881937
452	0.0891041469
453	0.08893225791
454	0.08884973796
455	0.08878479309
456	0.08872437037
457	0.0885620321
458	0.08838542865
459	0.08815953352
460	0.08781370412
461	0.0876433051
462	0.08749572356
463	0.08734439737
464	0.08724195388
465	0.08710011438
466	0.08690766146
467	0.08678945074
468	0.08660889215
469	0.08649049323
470	0.08636281587
471	0.08609051467
472	0.08598383443
473	0.08581035699
474	0.08569359361
475	0.08549537507
476	0.08538784015
477	0.08527669163
478	0.08510632651
479	0.08497160813
480	0.08478416041
481	0.0847200625
482	0.08458212466
483	0.0844469221
484	0.08420139756
485	0.0840457634
486	0.08395224006
487	0.08382043436
488	0.08368541789
489	0.08355036596
490	0.08331473297
491	0.0831711556
492	0.08295848021
493	0.08278013931
494	0.08265946775
495	0.0824560281
496	0.08230132973
497	0.08224956798
498	0.08210870291
499	0.08203677115
500	0.08181628908
501	0.08168483144
502	0.08150399307
503	0.0813545904
504	0.08108331655
505	0.08087161285
506	0.08073029465
507	0.08059816808
508	0.08047031028
509	0.08038818547
510	0.08016649
511	0.08005305551
512	0.07992988651
513	0.0797920393
514	0.07969272466
515	0.07952539149
516	0.07940753886
517	0.07935714916
518	0.07916274519
519	0.0790355402
520	0.07889838854
521	0.07879072719
522	0.07862185905
523	0.07846786827
524	0.07832951509
525	0.07818069949
526	0.07808770521
527	0.07794046094
528	0.07778592248
529	0.07769440715
530	0.07759781778
531	0.07748701772
532	0.07732391114
533	0.07725481664
534	0.07711274833
535	0.07704124166
536	0.07682844146
537	0.07670670374
538	0.0765965789
539	0.07655834362
540	0.07640738029
541	0.07626998456
542	0.07617870982
543	0.07606089831
544	0.07597899227
545	0.07588024943
546	0.07575644571
547	0.07567957068
548	0.075568227
549	0.07544826153
550	0.07533438941
551	0.07511588741
552	0.07501905274
553	0.07488805358
554	0.07477943655
555	0.07474818459
556	0.07459643553
557	0.07451205615
558	0.07439641454
559	0.07419294207
560	0.07403091218
561	0.07397232274
562	0.07389269674
563	0.07375775444
564	0.07366246077
565	0.07343515262
566	0.07334347114
567	0.07324123161
568	0.07308273012
569	0.07296602159
570	0.07285183431
571	0.07268441829
572	0.07259191712
573	0.07254859848
574	0.07236932928
575	0.07228299408
576	0.07216197419
577	0.07207442654
578	0.07191535706
579	0.07175121709
580	0.07160985883
581	0.07151853618
582	0.07133835123
583	0.07125953946
584	0.0711323677
585	0.07101534699
586	0.07098117734
587	0.07086071371
588	0.07068099687
589	0.07056195399
590	0.07042880905
591	0.07033332538
592	0.07020982737
593	0.07000164334
594	0.06989370802
595	0.06981688139
596	0.06974602448
597	0.06968650936
598	0.06962505674
599	0.06956412349
600	0.0694512251
601	0.0693195837
602	0.06922743007
603	0.06912034
604	0.06904409814
605	0.06892605212
606	0.0687992997
607	0.06872434743
608	0.06866514025
609	0.06861373461
610	0.06851942929
611	0.06840356494
612	0.06831980378
613	0.06822846682
614	0.06813725788
615	0.06805082911
616	0.06798560973
617	0.06787868158
618	0.0678095176
619	0.06773435795
620	0.06769719847
621	0.06761918144
622	0.06749917726
623	0.06732060733
624	0.06719709903
625	0.0671003103
626	0.06703014669
627	0.06693173869
628	0.06677426262
629	0.06662120306
630	0.06652505092
631	0.06643434577
632	0.06634333494
633	0.06628250287
634	0.0662195145
635	0.06612203074
636	0.06603935719
637	0.06589157966
638	0.06586238434
639	0.06578941617
640	0.06570905267
641	0.06563567008
642	0.06548760941
643	0.06540349609
644	0.06530665132
645	0.06521761362
646	0.06512618973
647	0.06509811096
648	0.06490499687
649	0.06479997208
650	0.06466634195
651	0.06456732999
652	0.06448839169
653	0.06438761615
654	0.0643235956
655	0.06416577431
656	0.06414319913
657	0.0640583565
658	0.06394445477
659	0.06384818251
660	0.06375113984
661	0.06366635621
662	0.0635940807
663	0.06357252582
664	0.06350006575
665	0.06344224853
666	0.06328989483
667	0.06319037055
668	0.06316982533
669	0.06313914333
670	0.06302079187
671	0.06288788202
672	0.06280644298
673	0.06268087452
674	0.06258762628
675	0.06250649733
676	0.06244015982
677	0.06238176026
678	0.062273223
679	0.06218572463
680	0.06207268499
681	0.06198884277
682	0.06192527863
683	0.06186191564
684	0.06182849819
685	0.06172058647
686	0.06164016346
687	0.06153685261
688	0.0614872708
689	0.06138279392
690	0.06132777036
691	0.06125847313
692	0.06112726216
693	0.0610489876
694	0.06096489916
695	0.06087557752
696	0.06079802633
697	0.06074080947
698	0.06065806126
699	0.06056967687
700	0.06051260317
701	0.06046318082
702	0.06043181547
703	0.06035712201
704	0.06027824639
705	0.06020255195
706	0.06009722066
707	0.06003050796
708	0.05995901724
709	0.05988290811
710	0.05974287886
711	0.05967771988
712	0.05960497208
713	0.05952704165
714	0.05945133617
715	0.05937825055
716	0.05928038259
717	0.05921186754
